epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85747,1.12981,5.12627,1.19786,5e-05,0.00798,0.00057,0.00029,0.97927,4.35869,1.08309,8.33e-06,8.33e-06,8.33e-06
2,6.40483,1.13322,5.10893,1.2084,6e-05,0.00843,0.00058,0.00039,0.96904,4.35975,1.07673,1.60829e-05,1.60829e-05,1.60829e-05
3,8.51676,1.13642,5.04155,1.2059,6e-05,0.00887,0.00061,0.00039,0.96167,4.35963,1.07395,2.19507e-05,2.19507e-05,2.19507e-05
4,10.6235,1.12474,5.09754,1.20491,6e-05,0.00898,0.00075,0.00053,0.95791,4.36237,1.07252,2.59337e-05,2.59337e-05,2.59337e-05
5,12.9068,1.07508,5.05244,1.15983,6e-05,0.00898,0.00081,0.00057,0.9539,4.36352,1.06908,2.80316e-05,2.80316e-05,2.80316e-05
6,15.0151,1.09268,5.04035,1.15406,6e-05,0.0092,0.00088,0.00062,0.95434,4.36353,1.06539,2.82447e-05,2.82447e-05,2.82447e-05
7,17.0559,1.06157,5.05577,1.16376,6e-05,0.00915,0.00097,0.00068,0.95014,4.36561,1.06274,2.65727e-05,2.65727e-05,2.65727e-05
8,19.0953,1.09844,4.96464,1.18524,6e-05,0.00909,0.00101,0.00072,0.94487,4.36728,1.05781,2.30158e-05,2.30158e-05,2.30158e-05
9,21.1292,1.03314,4.95019,1.16501,6e-05,0.00915,0.00115,0.00082,0.94213,4.36756,1.05543,1.75739e-05,1.75739e-05,1.75739e-05
10,23.1518,1.08258,4.97703,1.16734,6e-05,0.00898,0.00118,0.00083,0.9443,4.36951,1.05617,1.02471e-05,1.02471e-05,1.02471e-05
